Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region13Fujian_to_EastChinaSea_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region13Fujian,co2_transported_Region13Fujian_to_EastChinaSea,1,0,0.001011227,3.03E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region13Fujian_to_Region19Guangdong_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region13Fujian,co2_transported_Region13Fujian_to_Region19Guangdong,1,0,0.00157486,2.30E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region13Fujian_to_Region14Jiangxi_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region13Fujian,co2_transported_Region13Fujian_to_Region14Jiangxi,1,0,0.001017542,1.47E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region13Fujian_to_PearlRiverMouth_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region13Fujian,co2_transported_Region13Fujian_to_PearlRiverMouth,1,0,0.001209509,3.63E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region28Gansu_to_Region30Ningxia_CO2_Pipeline,Region28Gansu,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region28Gansu,co2_transported_Region28Gansu_to_Region30Ningxia,1,0,0.000423843,1.16E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region28Gansu_to_Region29Qinghai_CO2_Pipeline,Region28Gansu,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region28Gansu,co2_transported_Region28Gansu_to_Region29Qinghai,1,0,0.000269377,6.71E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region28Gansu_to_SichuanBasin_CO2_Pipeline,Region28Gansu,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region28Gansu,co2_transported_Region28Gansu_to_SichuanBasin,1,0,0.001222214,2.14E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region19Guangdong_to_Region20Guangxi_CO2_Pipeline,Region19Guangdong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region19Guangdong,co2_transported_Region19Guangdong_to_Region20Guangxi,1,0,0.001070954,1.70E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region19Guangdong_to_Region21Hainan_CO2_Pipeline,Region19Guangdong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region19Guangdong,co2_transported_Region19Guangdong_to_Region21Hainan,1,0,0.001243413,1.74E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region19Guangdong_to_PearlRiverMouth_CO2_Pipeline,Region19Guangdong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region19Guangdong,co2_transported_Region19Guangdong_to_PearlRiverMouth,1,0,0.000485531,1.46E-05,0,0.08,25,15,0
