id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
aluminum_transport_Region5Innermongolia_to_Region4Shanxi,0.0,0.0,1853.0608451456767,0.0,0.0,0.0,0.0,1853.0608451456767
aluminum_transport_Region5Innermongolia_to_Region6Liaoning,0.0,0.0,11918.324552527944,0.0,0.0,0.0,0.0,11918.324552527944
aluminum_transport_Region5Innermongolia_to_Region7Jilin,0.0,0.0,2697.2042849048416,0.0,0.0,0.0,0.0,2697.2042849048416
aluminum_transport_Region5Innermongolia_to_Region8Heilongjiang,0.0,0.0,3126.460038524408,0.0,0.0,0.0,0.0,3126.460038524408
aluminum_transport_Region5Innermongolia_to_Region9Shanghai,0.0,0.0,4326.77649576902,0.0,0.0,0.0,0.0,4326.77649576902
aluminum_transport_Region5Innermongolia_to_Region10Jiangsu,0.0,0.0,4243.24755934428,0.0,0.0,0.0,0.0,4243.24755934428
aluminum_transport_Region5Innermongolia_to_Region11Zhejiang,0.0,0.0,3390.3698636173176,0.0,0.0,0.0,0.0,3390.3698636173176
aluminum_transport_Region5Innermongolia_to_Region12Anhui,0.0,0.0,3392.6586682928987,0.0,0.0,0.0,0.0,3392.6586682928987
aluminum_transport_Region5Innermongolia_to_Region13Fujian,0.0,0.0,2714.368980332342,0.0,0.0,0.0,0.0,2714.368980332342
aluminum_transport_Region5Innermongolia_to_Region14Jiangxi,0.0,0.0,2512.846114077356,0.0,0.0,0.0,0.0,2512.846114077356
aluminum_transport_Region5Innermongolia_to_Region15Shandong,0.0,0.0,2899.706580688716,0.0,0.0,0.0,0.0,2899.706580688716
aluminum_transport_Region5Innermongolia_to_Region16Henan,0.0,0.0,2301.0798043378586,0.0,0.0,0.0,0.0,2301.0798043378586
aluminum_transport_Region5Innermongolia_to_Region17Hubei,0.0,0.0,2955.854376650582,0.0,0.0,0.0,0.0,2955.854376650582
aluminum_transport_Region5Innermongolia_to_Region18Hunan,0.0,0.0,2007.3052379215549,0.0,0.0,0.0,0.0,2007.3052379215549
aluminum_transport_Region5Innermongolia_to_Region19Guangdong,0.0,0.0,1966.869361767431,0.0,0.0,0.0,0.0,1966.869361767431
aluminum_transport_Region5Innermongolia_to_Region20Guangxi,0.0,0.0,1418.7883179155733,0.0,0.0,0.0,0.0,1418.7883179155733
aluminum_transport_Region5Innermongolia_to_Region21Hainan,0.0,0.0,1309.9318145916523,0.0,0.0,0.0,0.0,1309.9318145916523
aluminum_transport_Region5Innermongolia_to_Region22Chongqing,0.0,0.0,1172.8137630879114,0.0,0.0,0.0,0.0,1172.8137630879114
aluminum_transport_Region5Innermongolia_to_Region23Sichuan,0.0,0.0,1494.8408008354193,0.0,0.0,0.0,0.0,1494.8408008354193
aluminum_transport_Region5Innermongolia_to_Region24Guizhou,0.0,0.0,1059.6217643433965,0.0,0.0,0.0,0.0,1059.6217643433965
aluminum_transport_Region5Innermongolia_to_Region25Yunnan,0.0,0.0,1359.7146457862113,0.0,0.0,0.0,0.0,1359.7146457862113
aluminum_transport_Region5Innermongolia_to_Region27Shaanxi,0.0,0.0,2078.8535914337144,0.0,0.0,0.0,0.0,2078.8535914337144
aluminum_transport_Region5Innermongolia_to_Region28Gansu,0.0,0.0,3796.012851191771,0.0,0.0,0.0,0.0,3796.012851191771
aluminum_transport_Region5Innermongolia_to_Region29Qinghai,0.0,0.0,4890.047208838544,0.0,0.0,0.0,0.0,4890.047208838544
aluminum_transport_Region5Innermongolia_to_Region30Ningxia,0.0,0.0,4.390850042451437e6,0.0,0.0,0.0,0.0,4.390850042451437e6
aluminum_transport_Region5Innermongolia_to_Region31Xinjiang,0.0,0.0,9663.227863236682,0.0,0.0,0.0,0.0,9663.227863236682
aluminum_transport_Region6Liaoning_to_Region1Beijing,0.0,0.0,632.0967281949238,0.0,0.0,0.0,0.0,632.0967281949238
aluminum_transport_Region6Liaoning_to_Region2Tianjin,0.0,0.0,635.0404555681602,0.0,0.0,0.0,0.0,635.0404555681602
aluminum_transport_Region6Liaoning_to_Region3Hebei,0.0,0.0,584.5465061030861,0.0,0.0,0.0,0.0,584.5465061030861
aluminum_transport_Region6Liaoning_to_Region4Shanxi,0.0,0.0,572.8364223508822,0.0,0.0,0.0,0.0,572.8364223508822
aluminum_transport_Region6Liaoning_to_Region5Innermongolia,0.0,0.0,607.4540489709325,0.0,0.0,0.0,0.0,607.4540489709325
aluminum_transport_Region6Liaoning_to_Region7Jilin,0.0,0.0,618.9414652918122,0.0,0.0,0.0,0.0,618.9414652918122
aluminum_transport_Region6Liaoning_to_Region8Heilongjiang,0.0,0.0,1051.4807956543286,0.0,0.0,0.0,0.0,1051.4807956543286
aluminum_transport_Region6Liaoning_to_Region9Shanghai,0.0,0.0,1294.8493386620553,0.0,0.0,0.0,0.0,1294.8493386620553
aluminum_transport_Region6Liaoning_to_Region10Jiangsu,0.0,0.0,1202.7682378772865,0.0,0.0,0.0,0.0,1202.7682378772865
aluminum_transport_Region6Liaoning_to_Region11Zhejiang,0.0,0.0,1223.1591741324266,0.0,0.0,0.0,0.0,1223.1591741324266
aluminum_transport_Region6Liaoning_to_Region12Anhui,0.0,0.0,1090.7685187901593,0.0,0.0,0.0,0.0,1090.7685187901593
