zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,889.735722124737,0.0,0.0,0.0,0.0,889.735722124737
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,1259.957058556011,0.0,0.0,0.0,0.0,1259.957058556011
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,2349.1587800422076,0.0,0.0,0.0,0.0,2349.1587800422076
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,1845.5056975488023,0.0,0.0,0.0,0.0,1845.5056975488023
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,2033.8466769636934,0.0,0.0,0.0,0.0,2033.8466769636934
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,1493.550818311879,0.0,0.0,0.0,0.0,1493.550818311879
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,1713.389615530549,0.0,0.0,0.0,0.0,1713.389615530549
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,1261.8951289462727,0.0,0.0,0.0,0.0,1261.8951289462727
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,1586.4944763434837,0.0,0.0,0.0,0.0,1586.4944763434837
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,1227.5559829889937,0.0,0.0,0.0,0.0,1227.5559829889937
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,1632.8750993735864,0.0,0.0,0.0,0.0,1632.8750993735864
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,1600.1700522220701,0.0,0.0,0.0,0.0,1600.1700522220701
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,2134.528411371042,0.0,0.0,0.0,0.0,2134.528411371042
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,2528.665157069727,0.0,0.0,0.0,0.0,2528.665157069727
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,1804.1617670293356,0.0,0.0,0.0,0.0,1804.1617670293356
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,4798.824907042991,0.0,0.0,0.0,0.0,4798.824907042991
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,12282.345209981288,0.0,0.0,0.0,0.0,12282.345209981288
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,13494.776446094425,0.0,0.0,0.0,0.0,13494.776446094425
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,560.031290039088,0.0,0.0,0.0,0.0,560.031290039088
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,1437.142326260902,0.0,0.0,0.0,0.0,1437.142326260902
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,38465.656322858245,0.0,0.0,0.0,0.0,38465.656322858245
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,4450.6221206670125,0.0,0.0,0.0,0.0,4450.6221206670125
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,5496.6125768355,0.0,0.0,0.0,0.0,5496.6125768355
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,65148.208969105974,0.0,0.0,0.0,0.0,65148.208969105974
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,85365.02535954637,0.0,0.0,0.0,0.0,85365.02535954637
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,113602.49142164056,0.0,0.0,0.0,0.0,113602.49142164056
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,11858.269902839911,0.0,0.0,0.0,0.0,11858.269902839911
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,5988.881099229155,0.0,0.0,0.0,0.0,5988.881099229155
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,4991.625175683049,0.0,0.0,0.0,0.0,4991.625175683049
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,18159.642254179504,0.0,0.0,0.0,0.0,18159.642254179504
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,2554.5153750021586,0.0,0.0,0.0,0.0,2554.5153750021586
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,6815.911002822389,0.0,0.0,0.0,0.0,6815.911002822389
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,2820.1365766837184,0.0,0.0,0.0,0.0,2820.1365766837184
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,2645.508517532324,0.0,0.0,0.0,0.0,2645.508517532324
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,1700.8485838428148,0.0,0.0,0.0,0.0,1700.8485838428148
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,1984.0937431536524,0.0,0.0,0.0,0.0,1984.0937431536524
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,1418.7136773306083,0.0,0.0,0.0,0.0,1418.7136773306083
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,1941.2777494736672,0.0,0.0,0.0,0.0,1941.2777494736672
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,1353.3924628547793,0.0,0.0,0.0,0.0,1353.3924628547793
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,1862.3241273983808,0.0,0.0,0.0,0.0,1862.3241273983808
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,2606.5445301064387,0.0,0.0,0.0,0.0,2606.5445301064387
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,3615.7715570107534,0.0,0.0,0.0,0.0,3615.7715570107534
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,4591.631837810279,0.0,0.0,0.0,0.0,4591.631837810279
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,3067.136222991597,0.0,0.0,0.0,0.0,3067.136222991597
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,7865.34870229578,0.0,0.0,0.0,0.0,7865.34870229578
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,4.1476260086518144e6,0.0,0.0,0.0,0.0,4.1476260086518144e6
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,8.140208412552642e6,0.0,0.0,0.0,0.0,8.140208412552642e6
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,4.8201564349345826e7,0.0,0.0,0.0,0.0,4.8201564349345826e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,3128.1769368367673,0.0,0.0,0.0,0.0,3128.1769368367673
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,1.553880638455723e8,0.0,0.0,0.0,0.0,1.553880638455723e8
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,5588.919546632078,0.0,0.0,0.0,0.0,5588.919546632078
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,6710.828714040126,0.0,0.0,0.0,0.0,6710.828714040126
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,6.246441792877723e6,0.0,0.0,0.0,0.0,6.246441792877723e6
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,4.390944429322556e8,0.0,0.0,0.0,0.0,4.390944429322556e8
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,8.623272994066356e7,0.0,0.0,0.0,0.0,8.623272994066356e7
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,2.3230778558422896e8,0.0,0.0,0.0,0.0,2.3230778558422896e8
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,8578.280358248287,0.0,0.0,0.0,0.0,8578.280358248287
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,9724.904239412572,0.0,0.0,0.0,0.0,9724.904239412572
aluminum_Region4Shanxi_aluminum_Region15Shandong,0.0,0.0,1.3912251314122364e8,0.0,0.0,0.0,0.0,1.3912251314122364e8
aluminum_Region4Shanxi_aluminum_Region16Henan,0.0,0.0,9.29190446101183e7,0.0,0.0,0.0,0.0,9.29190446101183e7
aluminum_Region4Shanxi_aluminum_Region17Hubei,0.0,0.0,6.754102099206792e7,0.0,0.0,0.0,0.0,6.754102099206792e7
aluminum_Region4Shanxi_aluminum_Region18Hunan,0.0,0.0,4440.76529056829,0.0,0.0,0.0,0.0,4440.76529056829
aluminum_Region4Shanxi_aluminum_Region19Guangdong,0.0,0.0,3262.727771445447,0.0,0.0,0.0,0.0,3262.727771445447
aluminum_Region4Shanxi_aluminum_Region20Guangxi,0.0,0.0,1927.4616528767256,0.0,0.0,0.0,0.0,1927.4616528767256
aluminum_Region4Shanxi_aluminum_Region21Hainan,0.0,0.0,2253.0270708295684,0.0,0.0,0.0,0.0,2253.0270708295684
aluminum_Region4Shanxi_aluminum_Region22Chongqing,0.0,0.0,1658.868101519073,0.0,0.0,0.0,0.0,1658.868101519073
aluminum_Region4Shanxi_aluminum_Region23Sichuan,0.0,0.0,2615.3191542674067,0.0,0.0,0.0,0.0,2615.3191542674067
aluminum_Region4Shanxi_aluminum_Region24Guizhou,0.0,0.0,1496.5502741439038,0.0,0.0,0.0,0.0,1496.5502741439038
aluminum_Region4Shanxi_aluminum_Region25Yunnan,0.0,0.0,2148.5122538309,0.0,0.0,0.0,0.0,2148.5122538309
aluminum_Region4Shanxi_aluminum_Region27Shaanxi,0.0,0.0,2.113168371922165e7,0.0,0.0,0.0,0.0,2.113168371922165e7
aluminum_Region4Shanxi_aluminum_Region28Gansu,0.0,0.0,398758.36593310273,0.0,0.0,0.0,0.0,398758.36593310273
aluminum_Region4Shanxi_aluminum_Region29Qinghai,0.0,0.0,1.4002379862182816e7,0.0,0.0,0.0,0.0,1.4002379862182816e7
aluminum_Region4Shanxi_aluminum_Region30Ningxia,0.0,0.0,2.15932866092889e7,0.0,0.0,0.0,0.0,2.15932866092889e7
