id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region7Jilin_drieaf,10459.177299635947,1569.8222710122668,0.0,0.0,0.0,0.0,0.0,12028.999570648213
Region8Heilongjiang_drieaf,56222.600662520315,8438.47351715947,0.0,0.0,0.0,0.0,0.0,64661.07417967978
Region9Shanghai_drieaf,53816.38902122228,8077.324211141861,0.0,0.0,0.0,0.0,0.0,61893.71323236414
Region10Jiangsu_drieaf,240027.91401429437,36025.88944518342,0.0,0.0,0.0,0.0,0.0,276053.8034594778
Region11Zhejiang_drieaf,214637.17332705297,32214.982615091132,0.0,0.0,0.0,0.0,0.0,246852.1559421441
Region12Anhui_drieaf,16347.717811446772,2453.6357655516854,0.0,0.0,0.0,0.0,0.0,18801.353576998456
Region13Fujian_drieaf,161046.1490593292,24171.48349353404,0.0,0.0,0.0,0.0,0.0,185217.63255286324
Region14Jiangxi_drieaf,94791.82115118932,14227.343861751742,0.0,0.0,0.0,0.0,0.0,109019.16501294106
Region15Shandong_drieaf,2706.122325759823,406.1630253852899,0.0,0.0,0.0,0.0,0.0,3112.285351145113
Region16Henan_drieaf,40787.631139020334,6121.832521769778,0.0,0.0,0.0,0.0,0.0,46909.46366079011
Region17Hubei_drieaf,68037.0157272767,10211.703987999937,0.0,0.0,0.0,0.0,0.0,78248.71971527663
Region18Hunan_drieaf,190239.19507167608,28553.07991130039,0.0,0.0,0.0,0.0,0.0,218792.27498297647
Region19Guangdong_drieaf,804171.1631942532,120698.38434922788,0.0,0.0,0.0,0.0,0.0,924869.5475434811
Region20Guangxi_drieaf,369794.9615779008,55502.67958583322,0.0,0.0,0.0,0.0,0.0,425297.641163734
Region22Chongqing_drieaf,773621.2082245554,116113.12890169639,0.0,0.0,0.0,0.0,0.0,889734.3371262518
Region23Sichuan_drieaf,148704.32547162977,22319.09405812888,0.0,0.0,0.0,0.0,0.0,171023.41952975866
Region24Guizhou_drieaf,2.4088269760668576e6,361541.84270081227,0.0,0.0,0.0,0.0,0.0,2.7703688187676696e6
Region25Yunnan_drieaf,68490.18547288934,10279.720423598217,0.0,0.0,0.0,0.0,0.0,78769.90589648756
Region27Shaanxi_drieaf,36222.88311791648,5436.707592743342,0.0,0.0,0.0,0.0,0.0,41659.59071065982
Region28Gansu_drieaf,15025.754924110097,2255.2218059695083,0.0,0.0,0.0,0.0,0.0,17280.976730079605
Region29Qinghai_drieaf,1247.179113512554,187.1896318653562,0.0,0.0,0.0,0.0,0.0,1434.3687453779103
Region30Ningxia_drieaf,1204.3442638050085,180.76053145717125,0.0,0.0,0.0,0.0,0.0,1385.1047952621798
Region31Xinjiang_drieaf,192331.5550987034,28867.12309799707,0.0,0.0,0.0,0.0,0.0,221198.67819670046
Region1Beijing_scrapeaf100,368.18107444077225,55.29027858656554,0.0,0.0,0.0,0.0,0.0,423.4713530273378
Region2Tianjin_scrapeaf100,373.01690857808876,56.016482716032996,0.0,0.0,0.0,0.0,0.0,429.03339129412177
Region3Hebei_scrapeaf100,3095.019463638894,464.78349989976255,0.0,0.0,0.0,0.0,0.0,3559.8029635386565
Region4Shanxi_scrapeaf100,65.38862885686807,9.819503925836257,0.0,0.0,0.0,0.0,0.0,75.20813278270433
Region5Innermongolia_scrapeaf100,186.6551530986586,28.03027132809089,0.0,0.0,0.0,0.0,0.0,214.68542442674948
