zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region5Innermongolia_aluminum_Region22Chongqing,0.0,0.0,2979.7291978040016,0.0,0.0,0.0,0.0,2979.7291978040016
aluminum_Region5Innermongolia_aluminum_Region23Sichuan,0.0,0.0,3681.3558710335406,0.0,0.0,0.0,0.0,3681.3558710335406
aluminum_Region5Innermongolia_aluminum_Region24Guizhou,0.0,0.0,2999.22885698135,0.0,0.0,0.0,0.0,2999.22885698135
aluminum_Region5Innermongolia_aluminum_Region25Yunnan,0.0,0.0,3088.903716418039,0.0,0.0,0.0,0.0,3088.903716418039
aluminum_Region5Innermongolia_aluminum_Region27Shaanxi,0.0,0.0,5163.252848638242,0.0,0.0,0.0,0.0,5163.252848638242
aluminum_Region5Innermongolia_aluminum_Region28Gansu,0.0,0.0,4154.456380752303,0.0,0.0,0.0,0.0,4154.456380752303
aluminum_Region5Innermongolia_aluminum_Region29Qinghai,0.0,0.0,5445.887075925838,0.0,0.0,0.0,0.0,5445.887075925838
aluminum_Region5Innermongolia_aluminum_Region30Ningxia,0.0,0.0,1.2265671069083333e6,0.0,0.0,0.0,0.0,1.2265671069083333e6
aluminum_Region5Innermongolia_aluminum_Region31Xinjiang,0.0,0.0,12254.866179108792,0.0,0.0,0.0,0.0,12254.866179108792
aluminum_Region6Liaoning_aluminum_Region1Beijing,0.0,0.0,2280.5110629885658,0.0,0.0,0.0,0.0,2280.5110629885658
aluminum_Region6Liaoning_aluminum_Region2Tianjin,0.0,0.0,2955.0720358802796,0.0,0.0,0.0,0.0,2955.0720358802796
aluminum_Region6Liaoning_aluminum_Region3Hebei,0.0,0.0,2193.688350372844,0.0,0.0,0.0,0.0,2193.688350372844
aluminum_Region6Liaoning_aluminum_Region4Shanxi,0.0,0.0,1920.9986089358963,0.0,0.0,0.0,0.0,1920.9986089358963
aluminum_Region6Liaoning_aluminum_Region5Innermongolia,0.0,0.0,1879.1196935189037,0.0,0.0,0.0,0.0,1879.1196935189037
aluminum_Region6Liaoning_aluminum_Region7Jilin,0.0,0.0,1370.876445413376,0.0,0.0,0.0,0.0,1370.876445413376
aluminum_Region6Liaoning_aluminum_Region8Heilongjiang,0.0,0.0,2796.182425733451,0.0,0.0,0.0,0.0,2796.182425733451
aluminum_Region6Liaoning_aluminum_Region9Shanghai,0.0,0.0,3985.037483506613,0.0,0.0,0.0,0.0,3985.037483506613
aluminum_Region6Liaoning_aluminum_Region10Jiangsu,0.0,0.0,4080.5289201991172,0.0,0.0,0.0,0.0,4080.5289201991172
