scenario,period,technology,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
no_cap,1,bfbof,Region17Hubei,17,Hubei,Natural Gas,0.0,28478761.497829154,structural_zero,0.0
no_cap,1,bfbof,Region17Hubei,17,Hubei,Steel Scrap,580966734.5557148,28478761.497829154,ok,20.400000000000002
no_cap,1,bfbof,Region17Hubei,17,Hubei,DRI,0.0,28478761.497829154,structural_zero,0.0
no_cap,1,bfbof,Region17Hubei,17,Hubei,Hydrogen,0.0,28478761.497829154,structural_zero,0.0
no_cap,1,bfbof,Region17Hubei,17,Hubei,Electricity,212445270.51644138,28478761.497829154,ok,7.459779124616617
no_cap,1,bfbof,Region18Hunan,18,Hunan,Investment,3007.4889636532066,18203181.684690114,ok,0.00016521776334203552
no_cap,1,bfbof,Region18Hunan,18,Hunan,Fixed O&M,1638286351.6221104,18203181.684690114,ok,90.0
no_cap,1,bfbof,Region18Hunan,18,Hunan,Variable O&M,0.0,18203181.684690114,ok,0.0
no_cap,1,bfbof,Region18Hunan,18,Hunan,Coal,1684994072.0333035,18203181.684690114,ok,92.56590969756002
no_cap,1,bfbof,Region18Hunan,18,Hunan,Natural Gas,0.0,18203181.684690114,structural_zero,0.0
no_cap,1,bfbof,Region18Hunan,18,Hunan,Steel Scrap,371344906.3676784,18203181.684690114,ok,20.400000000000006
no_cap,1,bfbof,Region18Hunan,18,Hunan,DRI,0.0,18203181.684690114,structural_zero,0.0
no_cap,1,bfbof,Region18Hunan,18,Hunan,Hydrogen,0.0,18203181.684690114,structural_zero,0.0
no_cap,1,bfbof,Region18Hunan,18,Hunan,Electricity,133821243.61240658,18203181.684690114,ok,7.3515304044324115
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Investment,8935.308600300925,28951813.861902382,ok,0.0003086269013375661
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Fixed O&M,2605663247.5712147,28951813.861902382,ok,90.00000000000001
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Variable O&M,0.0,28951813.861902382,ok,0.0
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Coal,2293233673.339278,28951813.861902382,ok,79.20863557212002
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Natural Gas,0.0,28951813.861902382,structural_zero,0.0
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Steel Scrap,590617002.7828085,28951813.861902382,ok,20.4
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,DRI,0.0,28951813.861902382,structural_zero,0.0
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Hydrogen,0.0,28951813.861902382,structural_zero,0.0
no_cap,1,bfbof,Region19Guangdong,19,Guangdong,Electricity,243966411.69314235,28951813.861902382,ok,8.426636509091995
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Investment,3091.479002930368,37886903.400592834,ok,8.159756341770583e-05
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Fixed O&M,3409821306.0533543,37886903.400592834,ok,89.99999999999999
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Variable O&M,0.0,37886903.400592834,ok,0.0
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Coal,3466550418.618836,37886903.400592834,ok,91.49732776958999
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Natural Gas,0.0,37886903.400592834,structural_zero,0.0
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Steel Scrap,772892829.3720937,37886903.400592834,ok,20.399999999999995
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,DRI,0.0,37886903.400592834,structural_zero,0.0
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Hydrogen,0.0,37886903.400592834,structural_zero,0.0
no_cap,1,bfbof,Region20Guangxi,20,Guangxi,Electricity,305716613.5423295,37886903.400592834,ok,8.069189775418431
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Investment,5281.391290085412,11396750.860924473,ok,0.00046341201580473964
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Fixed O&M,1025707577.4832025,11396750.860924473,ok,89.99999999999999
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Variable O&M,0.0,11396750.860924473,ok,0.0
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Coal,927077809.6643323,11396750.860924473,ok,81.34579942805999
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Natural Gas,0.0,11396750.860924473,structural_zero,0.0
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Steel Scrap,232493717.56285924,11396750.860924473,ok,20.4
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,DRI,0.0,11396750.860924473,structural_zero,0.0
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Hydrogen,0.0,11396750.860924473,structural_zero,0.0
no_cap,1,bfbof,Region22Chongqing,22,Chongqing,Electricity,81147847.76399651,11396750.860924473,ok,7.120261621426199
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Investment,4656.608622538746,18150537.523744814,ok,0.00025655486050740365
