period,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
1,Region20Guangxi,20,Guangxi,Natural Gas,0.0,37886996.13442235,structural_zero,0.0
1,Region20Guangxi,20,Guangxi,Steel Scrap,772894721.1422158,37886996.13442235,ok,20.4
1,Region20Guangxi,20,Guangxi,DRI,0.0,37886996.13442235,structural_zero,0.0
1,Region20Guangxi,20,Guangxi,Hydrogen,0.0,37886996.13442235,structural_zero,0.0
1,Region20Guangxi,20,Guangxi,Electricity,305707754.6394905,37886996.13442235,ok,8.068936200559293
1,Region22Chongqing,22,Chongqing,Investment,3599.577802179873,11396761.369273428,ok,0.00031584216651974655
1,Region22Chongqing,22,Chongqing,Fixed O&M,1025708523.2346084,11396761.369273428,ok,89.99999999999999
1,Region22Chongqing,22,Chongqing,Variable O&M,0.0,11396761.369273428,ok,0.0
1,Region22Chongqing,22,Chongqing,Coal,927078664.4743788,11396761.369273428,ok,81.34579942806
1,Region22Chongqing,22,Chongqing,Natural Gas,0.0,11396761.369273428,structural_zero,0.0
1,Region22Chongqing,22,Chongqing,Steel Scrap,232493931.9331779,11396761.369273428,ok,20.399999999999995
1,Region22Chongqing,22,Chongqing,DRI,0.0,11396761.369273428,structural_zero,0.0
1,Region22Chongqing,22,Chongqing,Hydrogen,0.0,11396761.369273428,structural_zero,0.0
1,Region22Chongqing,22,Chongqing,Electricity,81069700.59888028,11396761.369273428,ok,7.1133980937295584
1,Region23Sichuan,23,Sichuan,Investment,3132.336308090231,18150723.845324315,ok,0.00017257363038428525
1,Region23Sichuan,23,Sichuan,Fixed O&M,1633565146.0791883,18150723.845324315,ok,90.0
1,Region23Sichuan,23,Sichuan,Variable O&M,0.0,18150723.845324315,ok,0.0
1,Region23Sichuan,23,Sichuan,Coal,1573462818.799296,18150723.845324315,ok,86.68870906790998
1,Region23Sichuan,23,Sichuan,Natural Gas,0.0,18150723.845324315,structural_zero,0.0
1,Region23Sichuan,23,Sichuan,Steel Scrap,370274766.44461614,18150723.845324315,ok,20.400000000000006
1,Region23Sichuan,23,Sichuan,DRI,0.0,18150723.845324315,structural_zero,0.0
1,Region23Sichuan,23,Sichuan,Hydrogen,0.0,18150723.845324315,structural_zero,0.0
1,Region23Sichuan,23,Sichuan,Electricity,130935410.07753232,18150723.845324315,ok,7.213784485584673
1,Region24Guizhou,24,Guizhou,Investment,11297.33768552683,3503969.3264436894,ok,0.003224154275629155
1,Region24Guizhou,24,Guizhou,Fixed O&M,315357239.37993205,3503969.3264436894,ok,90.0
1,Region24Guizhou,24,Guizhou,Variable O&M,0.0,3503969.3264436894,ok,0.0
1,Region24Guizhou,24,Guizhou,Coal,231677220.2335505,3503969.3264436894,ok,66.11850694158001
1,Region24Guizhou,24,Guizhou,Natural Gas,0.0,3503969.3264436894,structural_zero,0.0
1,Region24Guizhou,24,Guizhou,Steel Scrap,71480974.25945127,3503969.3264436894,ok,20.400000000000002
1,Region24Guizhou,24,Guizhou,DRI,0.0,3503969.3264436894,structural_zero,0.0
1,Region24Guizhou,24,Guizhou,Hydrogen,0.0,3503969.3264436894,structural_zero,0.0
1,Region24Guizhou,24,Guizhou,Electricity,24860637.31855531,3503969.3264436894,ok,7.094992850233455
1,Region25Yunnan,25,Yunnan,Investment,12560.02004608673,12947299.997420259,ok,0.0009700879757624606
1,Region25Yunnan,25,Yunnan,Fixed O&M,1165256999.7678232,12947299.997420259,ok,90.0
1,Region25Yunnan,25,Yunnan,Variable O&M,0.0,12947299.997420259,ok,0.0
1,Region25Yunnan,25,Yunnan,Coal,731538886.9464371,12947299.997420259,ok,56.50126953822
1,Region25Yunnan,25,Yunnan,Natural Gas,0.0,12947299.997420259,structural_zero,0.0
1,Region25Yunnan,25,Yunnan,Steel Scrap,264124919.94737324,12947299.997420259,ok,20.4
1,Region25Yunnan,25,Yunnan,DRI,0.0,12947299.997420259,structural_zero,0.0
1,Region25Yunnan,25,Yunnan,Hydrogen,0.0,12947299.997420259,structural_zero,0.0
1,Region25Yunnan,25,Yunnan,Electricity,96429225.0599876,12947299.997420259,ok,7.447825035273846
1,Region27Shaanxi,27,Shaanxi,Investment,3608.1713258429745,12097560.196043048,ok,0.000298256116718738
1,Region27Shaanxi,27,Shaanxi,Fixed O&M,1088780417.6438744,12097560.196043048,ok,90.0
1,Region27Shaanxi,27,Shaanxi,Variable O&M,0.0,12097560.196043048,ok,0.0
1,Region27Shaanxi,27,Shaanxi,Coal,715845595.1988204,12097560.196043048,ok,59.172724383959995
1,Region27Shaanxi,27,Shaanxi,Natural Gas,0.0,12097560.196043048,structural_zero,0.0
1,Region27Shaanxi,27,Shaanxi,Steel Scrap,246790227.9992782,12097560.196043048,ok,20.400000000000002
1,Region27Shaanxi,27,Shaanxi,DRI,0.0,12097560.196043048,structural_zero,0.0
1,Region27Shaanxi,27,Shaanxi,Hydrogen,0.0,12097560.196043048,structural_zero,0.0
1,Region27Shaanxi,27,Shaanxi,Electricity,79253771.35222158,12097560.196043048,ok,6.551219425065927
1,Region28Gansu,28,Gansu,Investment,2671.732666566055,10003845.207470583,ok,0.00026707057248055797
1,Region28Gansu,28,Gansu,Fixed O&M,900346068.6723524,10003845.207470583,ok,90.0
1,Region28Gansu,28,Gansu,Variable O&M,0.0,10003845.207470583,ok,0.0
1,Region28Gansu,28,Gansu,Coal,706871503.250639,10003845.207470583,ok,70.65998009672998
1,Region28Gansu,28,Gansu,Natural Gas,0.0,10003845.207470583,structural_zero,0.0
1,Region28Gansu,28,Gansu,Steel Scrap,204078442.2323999,10003845.207470583,ok,20.400000000000002
1,Region28Gansu,28,Gansu,DRI,0.0,10003845.207470583,structural_zero,0.0
1,Region28Gansu,28,Gansu,Hydrogen,0.0,10003845.207470583,structural_zero,0.0
1,Region28Gansu,28,Gansu,Electricity,66480172.65654355,10003845.207470583,ok,6.645461947661693
1,Region29Qinghai,29,Qinghai,Investment,1581.3141358708515,902262.2317990136,ok,0.001752610361089682
1,Region29Qinghai,29,Qinghai,Fixed O&M,81203600.86191122,902262.2317990136,ok,90.0
1,Region29Qinghai,29,Qinghai,Variable O&M,0.0,902262.2317990136,ok,0.0
1,Region29Qinghai,29,Qinghai,Coal,58451055.230694726,902262.2317990136,ok,64.78277951871002
1,Region29Qinghai,29,Qinghai,Natural Gas,0.0,902262.2317990136,structural_zero,0.0
