sweep,slack,seed,direction,status,rank,violation_model_units,classification,original_constraint,mapped_constraint
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,1,5.597484333245528e7,Anhui-Hubei new-unit lower bound (index match),_[35595] ≥ 0,vNEWUNIT_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 ≥ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,2,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079619] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[239] ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,3,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434806] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434806]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,4,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316402] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316402]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,5,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079527] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079527]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,6,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079450] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079450]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,7,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316440] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316440]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,8,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316310] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316310]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,9,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8197854] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8197854]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,10,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316419] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316419]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,11,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8197918] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8197918]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,12,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434895] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4[198] ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,13,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079393] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079393]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,14,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079555] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079555]{unmapped} ≤ 0
