zone,Investment_cap,FixedOM_cap,VariableOM_cap,Startup_cap,NonServedDemand_cap,Supply_cap,UnmetPolicyPenalty_cap,Total_cap,Investment_no_cap,FixedOM_no_cap,VariableOM_no_cap,Startup_no_cap,NonServedDemand_no_cap,Supply_no_cap,UnmetPolicyPenalty_no_cap,Total_no_cap,Investment_diff,FixedOM_diff,VariableOM_diff,Startup_diff,NonServedDemand_diff,Supply_diff,UnmetPolicyPenalty_diff,Total_diff,Total_pct_change
Region12Anhui,214474379358.2096,11858369970.257835,828961722.7689347,3128401.081868711,0.0,0.0,0.0,227164839452.31824,213434517677.3874,8910509235.206993,833794018.36209,1637619.962058564,0.0,0.0,0.0,223180458550.91855,1039861680.8222046,2947860735.0508423,-4832295.593155265,1490781.119810147,0.0,0.0,0.0,3984380901.3996887,1.7852731942884927
Region12Anhui_ammonia_coal_ccs_transforms_ammonia_Region12Anhui,1190715.4582043977,148852.94029692916,0.0,0.0,0.0,0.0,0.0,1339568.3985013268,536420.1666510919,67058.60622738059,0.0,0.0,0.0,0.0,0.0,603478.7728784725,654295.2915533058,81794.33406954857,0.0,0.0,0.0,0.0,0.0,736089.6256228543,121.9744022000732
Region12Anhui_ammonia_coal_transforms_ammonia_Region12Anhui,911225322.3549618,535499819.0029781,0.0,0.0,0.0,0.0,0.0,1446725141.3579395,913448359.2503642,535908459.25547856,0.0,0.0,0.0,0.0,0.0,1449356818.5058427,-2223036.8954024315,-408640.25250047445,0.0,0.0,0.0,0.0,0.0,-2631677.147903204,-0.1815755177952816
Region12Anhui_ammonia_gas_ccs_transforms_ammonia_Region12Anhui,1044099.05873369,130527.167968357,0.0,0.0,0.0,0.0,0.0,1174626.226702047,467437.6918229423,58436.330925643015,0.0,0.0,0.0,0.0,0.0,525874.0227485853,576661.3669107477,72090.83704271397,0.0,0.0,0.0,0.0,0.0,648752.2039534617,123.36646723156794
Region12Anhui_ammonia_gas_transforms_ammonia_Region12Anhui,4573228.919539393,571530.2618811503,0.0,0.0,0.0,0.0,0.0,5144759.181420543,2371270.9410422514,296344.90767226624,0.0,0.0,0.0,0.0,0.0,2667615.8487145174,2201957.9784971415,275185.35420888406,0.0,0.0,0.0,0.0,0.0,2477143.332706026,92.85982214791993
Region12Anhui_ammonia_h2_transforms_ammonia_Region12Anhui,1771840.4281731392,221453.266801288,0.0,0.0,0.0,0.0,0.0,1993293.694974427,1054752.781525578,131828.15191626264,0.0,0.0,0.0,0.0,0.0,1186580.9334418406,717087.6466475613,89625.11488502537,0.0,0.0,0.0,0.0,0.0,806712.7615325865,67.98632430344263
Region12Anhui_bfbof_transforms_crudesteel_Region12Anhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.887581256242,2921016082.234508,0.0,0.0,0.0,0.0,0.0,2921017490.1220894,-1407.887581256242,-2921016082.234508,0.0,0.0,0.0,0.0,0.0,-2921017490.1220894,-100.0
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32507.269584519425,4876.361055672489,0.0,0.0,0.0,0.0,0.0,37383.630640191914,-32507.269584519425,-4876.361055672489,0.0,0.0,0.0,0.0,0.0,-37383.630640191914,-100.0
Region12Anhui_drieaf_transforms_crudesteel_Region12Anhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332913.5685249733,49967.1359630611,0.0,0.0,0.0,0.0,0.0,382880.7044880344,-332913.5685249733,-49967.1359630611,0.0,0.0,0.0,0.0,0.0,-382880.7044880344,-100.0
Region12Anhui_gasdri_transforms_dri_Region12Anhui,2930.822459548524,439.62336893227854,0.0,0.0,0.0,0.0,0.0,3370.4458284808024,2192.88004286299,328.9320064294485,0.0,0.0,0.0,0.0,0.0,2521.8120492924386,737.9424166855338,110.69136250283003,0.0,0.0,0.0,0.0,0.0,848.6337791883639,33.65174575268092
Region12Anhui_gasdriccs_transforms_dri_Region12Anhui,3405.352485285391,510.92000723130064,0.0,0.0,0.0,0.0,0.0,3916.272492516692,1425.5070836359532,213.8750959340156,0.0,0.0,0.0,0.0,0.0,1639.382179569969,1979.845401649438,297.044911297285,0.0,0.0,0.0,0.0,0.0,2276.8903129467235,138.8870966954137
Region12Anhui_h2dri_transforms_dri_Region12Anhui,33816.47146939444,5072.470720409165,0.0,0.0,0.0,0.0,0.0,38888.94218980361,2275.010481314639,341.2515721971958,0.0,0.0,0.0,0.0,0.0,2616.262053511835,31541.4609880798,4731.219148211969,0.0,0.0,0.0,0.0,0.0,36272.680136291776,1386.4314581027002
Region12Anhui_methanol_coal_ccs_transforms_methanol_Region12Anhui,4652403.372482287,630949.9014888877,0.0,0.0,0.0,0.0,0.0,5283353.273971175,2778337.528749383,376792.7347907486,0.0,0.0,0.0,0.0,0.0,3155130.2635401315,1874065.8437329037,254157.1666981391,0.0,0.0,0.0,0.0,0.0,2128223.0104310433,67.45277794150807
Region12Anhui_methanol_coal_transforms_methanol_Region12Anhui,821680490.8117294,351979808.0487269,0.0,0.0,0.0,0.0,0.0,1173660298.8604565,822734771.3046201,352255565.3118052,0.0,0.0,0.0,0.0,0.0,1174990336.6164253,-1054280.4928907156,-275757.26307827234,0.0,0.0,0.0,0.0,0.0,-1330037.7559688091,-0.11319563357421883
Region12Anhui_methanol_cog_transforms_methanol_Region12Anhui,0.0,626910.7101791137,0.0,0.0,0.0,0.0,0.0,626910.7101791137,0.0,533009.1714687875,0.0,0.0,0.0,0.0,0.0,533009.1714687875,0.0,93901.53871032619,0.0,0.0,0.0,0.0,0.0,93901.53871032619,17.617246332097118
